0
account
currency
riskLimit
prevState
state
action
amount
pendingCredit
pendingDebit
confirmedDebit
prevRealisedPnl
prevUnrealisedPnl
grossComm
grossOpenCost
grossOpenPremium
grossExecCost
grossMarkValue
riskValue
taxableMargin
initMargin
maintMargin
sessionMargin
targetExcessMargin
varMargin
realisedPnl
unrealisedPnl
indicativeTax
unrealisedProfit
syntheticMargin
walletBalance
marginBalance
marginBalancePcnt
marginLeverage
marginUsedPcnt
excessMargin
excessMarginPcnt
availableMargin
withdrawableMargin
timestamp
grossLastValue
commission
