orderID,clOrdID,clOrdLinkID,account,symbol,side,simpleOrderQty,orderQty,price,displayQty,stopPx,pegOffsetValue,pegPriceType,currency,settlCurrency,ordType,timeInForce,execInst,contingencyType,exDestination,ordStatus,triggered,workingIndicator,ordRejReason,simpleLeavesQty,leavesQty,simpleCumQty,cumQty,avgPx,multiLegReportingType,text,transactTime,timestamp
bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,,,63908,XBTUSD,Sell,,13122,7617.5,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.7226218,13122,7617.8868,SingleSecurity,Submitted via API.,2018-06-07T20:47:32.428Z,2018-06-07T20:47:32.428Z
bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,,,63908,XBTUSD,Buy,,13122,7643.0,,,,,USD,XBt,Market,ImmediateOrCancel,Close,,XBME,Filled,,False,,0,0,1.72265616,13122,7640.5868,SingleSecurity,Submitted via API.,2018-06-07T21:00:12.099Z,2018-06-07T21:00:12.099Z
453e94f3-876f-335c-4ad5-520ac101a58f,,,63908,XBTUSD,Sell,,12937,7632.5,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.6948690000000002,12937,7633.5878,SingleSecurity,Submitted via API.,2018-06-07T21:00:20.959Z,2018-06-07T21:00:20.959Z
63a8ab72-e5c2-8bb1-cfb3-b242370029df,,,63908,XBTUSD,Buy,,11875,7644.0,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.55574375,11875,7644.0,SingleSecurity,Submitted via API.,2018-06-08T08:00:18.144Z,2018-06-08T08:00:18.144Z
4cbdee82-742b-26de-3e80-71c74f13a9da,,,63908,XBTUSD,Buy,,1062,7594.5,,,,,USD,XBt,Limit,GoodTillCancel,Close,,XBME,Filled,,False,,0,0,0.13913262,1062,7595.0,SingleSecurity,"Amended orderQty: Order had execInst of Close or ReduceOnly but open buy orders exceed current position of -12937
Position Close from testnet.bitmex.com",2018-06-08T05:45:27.206Z,2018-06-08T13:13:00.989Z
0efbdd3b-2862-60e5-74e1-2436354728f6,,,63908,XBTUSD,Buy,,12775,7621.5,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.67628048,12775,7621.3703,SingleSecurity,Submitted via API.,2018-06-08T14:00:22.453Z,2018-06-08T14:00:22.453Z
74361ff8-06d6-2e5f-d494-d57508b50e5a,,,63908,XBTUSD,Buy,,10684,7632.0,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.39992452,10684,7632.0,SingleSecurity,Submitted via API.,2018-06-08T14:39:21.598Z,2018-06-08T14:39:21.598Z
c15830fe-6cb4-1a77-2002-0d098e9b8549,,,63908,XBTUSD,Buy,,10684,7632.0,,,,,USD,XBt,Market,ImmediateOrCancel,,,XBME,Filled,,False,,0,0,1.39992452,10684,7632.0,SingleSecurity,Submitted via API.,2018-06-08T14:39:21.606Z,2018-06-08T14:39:21.606Z
3331965d-688b-29d4-030e-9b493a5941d8,,,63908,XBTUSD,Sell,,34143,7646.0,,,,,USD,XBt,Limit,GoodTillCancel,Close,,XBME,Filled,,False,,0,0,4.47580587,34143,7660.4872,SingleSecurity,Position Close from testnet.bitmex.com,2018-06-08T18:27:45.364Z,2018-06-08T18:27:45.364Z
ba526056-96c3-fcc0-9839-151838c57a1d,,,63908,XBTUSD,Buy,,13197,7671.0,,7747,,,USD,XBt,LimitIfTouched,GoodTillCancel,,,XBME,Filled,StopOrderTriggered,False,,0,0,1.72036092,13197,7671.0,SingleSecurity,"Triggered: Order stop price reached
Submitted via API.",2018-06-09T11:59:32.018Z,2018-06-09T12:04:39.479Z
6a28f424-b2de-429b-b94e-eae2fa6c8e09,,,63908,XBTUSD,Sell,,13197,7633.0,,,,,USD,XBt,Limit,GoodTillCancel,Close,,XBME,Filled,,False,,0,0,1.72036092,13197,7642.3386,SingleSecurity,Position Close from testnet.bitmex.com,2018-06-09T15:47:48.392Z,2018-06-09T15:47:48.392Z
d6025429-c99d-f53b-9745-cd7e8634e773,,,63908,XBTUSD,Sell,,13174,7657.5,,7733.5,,,USD,XBt,LimitIfTouched,GoodTillCancel,,,XBME,Canceled,,False,,0,0,0.0,0,,SingleSecurity,"Canceled: Cancel from testnet.bitmex.com
Submitted via API.",2018-06-08T20:00:21.714Z,2018-06-10T18:44:07.806Z
ccedd334-332b-aa85-40b3-8690dd8f5cf2,,,63908,XBTUSD,Sell,,13174,7657.5,,7733.5,,,USD,XBt,LimitIfTouched,GoodTillCancel,,,XBME,Canceled,,False,,0,0,0.0,0,,SingleSecurity,"Canceled: Cancel from testnet.bitmex.com
Submitted via API.",2018-06-08T20:00:20.149Z,2018-06-10T18:44:08.140Z
48224345-988c-a788-ea88-9123bdeb8f73,,,63908,XBTUSD,Sell,,57395,6799.5,,6841.5,,,USD,XBt,MarketIfTouched,ImmediateOrCancel,,,XBME,Filled,StopOrderTriggered,False,,0,0,8.44107464,57395,6799.9456,SingleSecurity,"Triggered: Order stop price reached
Submitted via API.",2018-06-12T00:00:15.124Z,2018-06-12T00:00:15.124Z
